foodID,foodName,foodEName,foodDesc,foodCountry,Ingridients,foodMain,foodVegies,foodTaste
F001,Rendang ,Spicy Meat,Rendang is a traditional food originating from West Sumatra and prepared by Minangkabau people. Rendang is commonly made with beef (especially tenderloin) with special sauce containing a high amount of coconut milk.,Indonesia ,"Meat, Coconut, Chili, Spices ",Beef ,No,Spicy 
F002,Nasi Goreng ,Fried Rice ,"Nasi goreng is full of aromatic, earthy and smoky flavour. This food is cooked using stir fried rice in small amount of cooking oil or margarine, typically spiced with kecap manis, shallot, garlic, tamarind and chilli and accompanied with other ingredients, particularly egg, chicken and prawns",Indonesia ,"Rice, Meats, Egg, Sweet soy sauce, shrimp paste",Chicken ,,
F003,Tempe ,Fermented Soybean ,"Tempe is a traditional Indonesian soy product, that is made from fermented soybeans.it is made by a natural culturing and controlled fermentation process that binds soybeans into a cake form.Here a special fungus is used, which has the Latin name Rhizopus oligosporus.",Indonesia ,"Soy bean, Special Fungus ",No,Soy Bean ,
F004,Gado Gado ,peanut sauce salad,"Gado gado, which is a vegetables and compressed rice salad, made with peanut sauce (or cashew nut sauce) dressing",Indonesia ,"Peanut Sauce, long green beans, Cabbage, Bean sprouts, Lettuce, Tomato, wedged, Cucumber, Boiled/steamed potatoes, sliced, Boiled eggs, wedged, Fried/baked tempe, Fried/baked tofu, Lontong, rice cake with log shape, cut into 1 cm thick, Melinjo nuts crackers, Shrimp crackers",No,,
F005,Sate ,meat skewers,meat skewers that are cooked over coals. These juicy skewers is usually served with rice cakes (ketupat) with peanut sauce poured all over the satay,Indonesia ,"chicken thigh meat, sweet soy sauce, oil, bamboo skewers, roasted peanut, candlenuts, red chilies, palm sugar",,,
F006,Rawon,beef stew,"Nasi Rawon is a dish made of beef stew from East Java. Rawon has this nutty flavour and a deep, black color from the use of keluak nut. It is rich in flavor",Indonesia ,"beef rump, turmeric roots ,ginger roots, garlic, shallot, candlenut, red chilies, kaffir lime leafs, lemon grass, black nut, coriander powder, bay leaf, galangal, cumin, salt, white pepper powder, white sugar, vegetables oil",,,
F007,Nasi Uduk ,coconut rice,"A perennial favorite among native Betawi, nasi uduk is rice cooked in coconut milk and includes a pinwheel of various meat and vegetable accoutrements. It almost always includes fried chicken, boiled eggs and tempe (soybean cake) with anchovies and is topped with emping (melinjo nut crackers)",Indonesia ,"rice, coconut milk, lemongrass, pandan leaves, bay leaves , ginger, galangal, coriander powder, salt",,,
F008,Pempek ,Fish Cake,"The recipe for the fishcakes or fish balls not only includes pureed fish, but also tapioca starch to give it a chewy bouncy texture. The pempek are then usually deep fried (although you can get them grilled as well), and served with noodles and a sauce that’s sweet, salty, and sour.",Indonesia ,"Spanish mackerels, egg yolks, white pepper powder, garlic powder, vegetables oil, tapioca flour, palm sugar, garlic, bird’s eyes chillies, tamarind, Cucumber, Egg noodle, Grinded dried shrimp",,,
F009,Gudeg ,stewed jackfruit,"The sweet jackfruit stew is boiled for hours in coconut milk and palm sugar, making the fruit so soft and tender it falls apart with little chewing. Other spices are thrown into the mix but teak leaves give it a brown coloring. Like nasi uduk, it's served with rice, boiled egg, chicken and crispy, fried beef skin.",Indonesia ,"young jackfruit, eggs, palm sugar, black tea, brown soya, Bay Leaves, galangal, coconut milk, shallots, garlic, coriander, nuts",,,
F010,Soto,meat soup,"Common street versions are made of a simple, clear soup flavored with chicken, goat or beef. In Jakarta, home of the indigenous Betawi, soto Betawi garners fame with its sweet, creamy, coconut-milk base. It's usually topped with crispy shallots and fried garlic, and as much or little sambal as taste buds can take.",Indonesia ,"chicken meat, Galangal, Lemon Grass, chicken bouillon, Papper, garlic, Celery leafs, Spring onion, Shallots, Fresh Ginger, Turmeric powder, candlenuts",,,
